,driver_id,charge_path
0,0e6137088-306f-417a-baf0-e8f6b5c53213,"[0.69689053 0.69689053 0.69689053 0.69689053 0.69689053 0.69689053
 0.69689053 0.69689053 0.69689053 0.8        0.7918103  0.7918103
 0.7918103  0.75906923 0.73485004 0.73485004 0.73485004 0.71387254
 0.71387254 0.70003664 0.67531496 0.65456993 0.63439527 0.63439527]"
1,1ccb9e307-fab8-47a1-b8c9-ef1ea9caaf54,"[0.65644348 0.65644348 0.65644348 0.65644348 0.65644348 0.65644348
 0.65644348 0.65644348 0.65644348 0.65644348 0.65644348 0.65644348
 0.65644348 0.65644348 0.68333333 0.8        0.8        0.8
 0.77818695 0.77818695 0.77818695 0.72997802 0.72997802 0.72997802]"
2,2c2e2d6c1-78d2-44df-843c-85c9bfbeb48c,"[0.54591702 0.54591702 0.54591702 0.54591702 0.54591702 0.54591702
 0.54591702 0.54591702 0.54591702 0.54591702 0.54591702 0.54591702
 0.54591702 0.54591702 0.54591702 0.56666667 0.68333333 0.8
 0.8        0.8        0.78695307 0.72762795 0.70126472 0.60681359]"
3,32dedbc95-0da9-44fa-b467-b41b9ffa2436,"[0.6442076  0.6442076  0.6442076  0.6442076  0.6442076  0.6442076
 0.6442076  0.6442076  0.6442076  0.6442076  0.6442076  0.6442076
 0.6442076  0.68333333 0.8        0.75870347 0.75870347 0.73107831
 0.69274351 0.67889179 0.63731843 0.61339186 0.61339186 0.61339186]"
4,40cb43d97-a253-46b7-a6dc-55ab8cf5ecff,"[0.65099044 0.65099044 0.65099044 0.65099044 0.65099044 0.65099044
 0.65099044 0.65099044 0.65099044 0.65099044 0.65099044 0.68333333
 0.8        0.79223032 0.79223032 0.79223032 0.7682753  0.75608258
 0.75608258 0.75608258 0.71658764 0.68401154 0.67619716 0.67619716]"
5,5700190b7-1df8-44de-a989-45050cbd6cb3,"[0.58683959 0.58683959 0.58683959 0.58683959 0.58683959 0.58683959
 0.58683959 0.58683959 0.58683959 0.58683959 0.58683959 0.58683959
 0.68333333 0.8        0.8        0.77618891 0.73907967 0.73907967
 0.70247946 0.6905234  0.66761409 0.66761409 0.61966596 0.58794165]"
6,6b456d391-e749-4592-bc6f-5345929a55e5,"[0.67039203 0.67039203 0.67039203 0.67039203 0.67039203 0.67039203
 0.67039203 0.67039203 0.67039203 0.67039203 0.67039203 0.67039203
 0.67039203 0.67039203 0.68333333 0.8        0.7786868  0.7786868
 0.7684489  0.7684489  0.74607347 0.7321866  0.71091758 0.71091758]"
7,76411f236-38d3-4113-ab58-d881eb2afa95,"[0.68706686 0.68706686 0.68706686 0.68706686 0.68706686 0.68706686
 0.68706686 0.68706686 0.68706686 0.68706686 0.68706686 0.68706686
 0.68706686 0.68706686 0.8        0.8        0.79251468 0.74783866
 0.74783866 0.73914059 0.71622357 0.67267303 0.6372645  0.57869054]"
8,8faaa016e-b9ff-4dde-a6ab-aef8713801ac,"[0.65960057 0.65960057 0.65960057 0.65960057 0.65960057 0.65960057
 0.65960057 0.65960057 0.65960057 0.65960057 0.65960057 0.65960057
 0.68333333 0.8        0.74970741 0.73328009 0.69476075 0.69476075
 0.68793562 0.68484753 0.67650944 0.64425545 0.63696172 0.63696172]"
9,919370e4e-f4c9-419c-95d5-e3d4efda6dbe,"[0.67601674 0.67601674 0.67601674 0.67601674 0.67601674 0.67601674
 0.67601674 0.67601674 0.67601674 0.67601674 0.67601674 0.67601674
 0.67601674 0.67601674 0.67601674 0.68333333 0.8        0.78604996
 0.74713208 0.72267388 0.6468811  0.6468811  0.64128372 0.62414349]"
10,105d8469db-15ae-47d0-8d5f-ceaec544daa0,"[0.66295912 0.66295912 0.66295912 0.66295912 0.66295912 0.66295912
 0.66295912 0.66295912 0.66295912 0.66295912 0.66295912 0.68333333
 0.8        0.8        0.77851635 0.76881139 0.76881139 0.76881139
 0.7433496  0.7433496  0.7433496  0.73098156 0.73098156 0.71446498]"
