,driver_id,schedule,group,plug_in_time,plug_out_time
0,04582e370-e6d0-4f0a-860c-af901f16da31,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1115.18693051],[358.85348597]
1,172988d1a-2437-4bf9-a2fc-0287d7d7e696,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1042.7244184],[338.53158571]
2,24600acf8-ca1e-4919-bec1-61d63be347c4,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1106.43141927],[407.35644677]
3,38aa541d8-b763-445a-86e6-79bfb345ca90,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1133.82193423],[591.455652]
4,48b026781-f517-451e-89da-bc3b518e190b,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1162.29841438],[628.28653992]
5,52d04fa45-e62a-427a-909f-dac83f70452c,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1089.62518796],[360.69126928]
6,60ea84f4f-142d-4955-9ca8-a51342544ead,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1124.04643474],[578.57242945]
7,7396572bf-ced8-4452-a939-c0ba32d6c962,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1049.78389931],[465.64624224]
8,89a0e98d8-30ec-44a4-91c0-eebd443caa42,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[960.90534499],[309.28760254]
9,90697d51d-48ff-4e0f-b6ea-9a53c382cea2,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1109.54681464],[476.28317987]
10,105b97e76d-0ab9-4b6f-b8d4-1e4908dfa355,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1072.19011926],[457.64625469]
11,1189d32d78-07f0-4576-85a0-3b0e041beaaf,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1153.1071721],[553.96238288]
12,12fa294cf0-a1d0-4801-a6f5-bd31c7ee316d,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1083.77987373],[471.09738063]
13,1392854903-00bf-426a-88a6-a87587766cdb,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1133.60707876],[540.86413505]
14,14a0463d5f-c706-4bbd-a8ea-ec631a98e1df,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[932.69059594],[326.21540594]
15,15c37da3c3-890b-46b9-a543-2854c4d6abb6,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1197.2514182],[544.4228483]
16,16352c8b6a-4b8b-4b29-af0e-71778b259a5b,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[951.19723483],[305.80684677]
17,172329b444-d65b-4db9-b418-ba6f4780bd2a,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1110.9275008],[471.31105473]
18,186761ffde-d6a0-4808-8212-eacf1303d862,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.],Average (UK),[1209.19667125],[510.81897568]
19,19dac6f909-2716-485b-b2fa-69207a011842,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1150.70043018],[607.63311422]
20,20857b4cfb-633e-4748-8bf2-595ba832fcf3,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1069.59076307],[472.72976699]
21,21a29d4d32-f350-467d-a92b-85242516d1c4,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1199.17669364],[454.44128399]
22,22305d967e-02af-4b74-acf7-1e9c6e6842d5,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1131.07106758],[519.21386319]
23,2320296c19-8827-4cb6-af4a-8a39bb922a5e,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1193.31216134],[557.32624495]
24,24bc46106a-195a-44ac-865c-f987043a1440,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1047.38513906],[564.21336986]
25,2501034bc1-aa39-42e9-9994-f85686a3de38,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[996.12385553],[322.97946557]
26,26fd1b35f3-c6da-446d-a75d-16ada67f8954,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1080.01165095],[474.07789861]
27,27aeb5ff75-302f-4a71-b6c0-ad2d075250b4,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1075.3697885],[447.57675587]
28,28b41531c8-0184-45e1-94c9-64502e3a60d9,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1100.08635051],[456.21135852]
29,29bf5e3674-d552-425a-a7f2-be59e251e302,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1070.95854152],[446.36250427]
30,307490d436-250f-4d96-9420-5649afcd4ae2,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1165.27081347],[639.4661432]
31,3107da40b9-e24c-4e7d-8adb-84c87388b26f,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1002.16240514],[344.40161798]
32,32e4d5d120-52ad-4716-be64-eb6c2e43420c,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1062.47688237],[416.61429297]
33,3332127689-eaa8-46b9-83c6-d35a753deb23,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1139.23831924],[435.91664913]
34,34c0016aad-62d6-4163-af9a-47f2d9456cea,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1112.13411105],[520.3244079]
35,35006e91f0-210b-4290-8105-fdb40b101d39,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1116.43813011],[487.02412391]
36,36bc08657e-d837-45b8-a5b2-7f5dab8e96b0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1111.99163084],[514.63310348]
37,372a92cf21-8284-4a1f-b169-b496372ed112,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1034.45095916],[459.51203437]
38,3870c08c97-e51b-4bd8-8923-68b8bc31d69b,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1029.22136639],[431.88685398]
